receipt_id,category,exact_search_query,exact_source_url,page_or_repo_opened,verified_fact,extracted_idea,accepted_or_rejected,reason,architecture_layer_supported,confidence,valid_receipt,invalid_reason
R120,outside_validation,site:github.com postmortem template blameless incident,https://github.com/PagerDuty/postmortem-docs/blob/master/docs/resources/post_mortem_template.md,PagerDuty template doc,Blameless postmortem template exists,Standardized failure report structure,accepted,relevant,postmortem_template_layer,high,true,
R121,outside_validation,site:github.com actuarial tail risk modeling,https://github.com/burning-cost/insurance-evt,insurance-evt repo,EVT tail-risk modeling repo exists,Tail-risk scoring features,accepted,relevant,risk_model_layer,high,true,
R122,outside_validation,site:github.com climate forecast verification skill score,https://github.com/nci/scores/,scores repo,Forecast verification metrics package exists,Skill-score evaluation metrics,accepted,relevant,validation_metrics_layer,high,true,
R123,quant_backtesting,GitHub ABIDES market simulator repository,https://github.com/abides-sim/abides,abides repo,ABIDES is an agent-based market simulator repository,Use discrete-event market simulation patterns for stress testing,accepted,relevant,simulation_engine,high,true,
R124,quant_backtesting,GitHub ABIDES-Gym repository,https://github.com/jpmorganchase/abides-jpmc-public,abides-jpmc-public repo,ABIDES-Gym component is documented in JPMC public ABIDES repository,Use gym-wrapped market simulation for RL experimentation only,accepted,relevant,experimental_ai_layer,medium,true,
R125,quant_backtesting,GitHub BackDash FastAPI React repository,https://github.com/sajalkmr/backdash,BackDash repo,BackDash repo exists with FastAPI React and event-driven backtesting claims in README,Use strategy-lab UX and async job orchestration patterns,accepted,relevant,candidate_pipeline_layer,high,true,
R126,quant_backtesting,GitHub QuantDash FastAPI React repository,https://github.com/jakobildstad/quantdash,QuantDash repo,QuantDash repo verified with FastAPI React architecture,Use modular backtesting dashboard decomposition,accepted,relevant,dashboard_api,high,true,
R127,quant_backtesting,GitHub BatesStocks repository stock indicators dashboard,https://github.com/wtbates99/stock-indicators,BatesStocks repo,BatesStocks stock-indicators repository exists and describes FastAPI React dashboard features,Reference comprehensive indicator and screening UI patterns,accepted,relevant,evidence_dashboard_ui,medium,true,
R128,quant_backtesting,GitHub Open Paper Trading MCP repository,https://github.com/Open-Agent-Tools/open-paper-trading-mcp,open-paper-trading-mcp repo,Open Paper Trading MCP URL reconfirmed and unchanged,Keep MCP-compatible paper trading interface,accepted,relevant,paper_basket_engine,high,true,
R129,quant_backtesting,GitHub Vibe-Trading repository,https://github.com/bxrbcn/Vibe-Trading,Vibe-Trading repo,Vibe-Trading repository exists with multi-agent trading workspace claims,Use only for workflow inspiration not decision automation,accepted,research-only,experimental_ai_layer,medium,true,
R130,osint_fraud,GitHub HuntKit OSINT repository,https://github.com/mcnamee/huntkit,huntkit repo,HuntKit exists as security/pentest toolkit not OSINT case management platform,Record distinction to avoid overstating OSINT case features,rejected,category mismatch for case-management claim,coverage_limits,high,true,
R131,osint_fraud,GitHub hunters-org/hunter-kit repository,https://github.com/hunters-org/hunter-kit,hunter-kit repo,Hunter-kit exists as pentest automation toolkit,Useful only as investigation workflow inspiration,rejected,not a dedicated financial evidence case manager,coverage_limits,medium,true,
R132,osint_fraud,GitHub Helm-Path OSINT repository,https://github.com/Nhoya/gOSINT,gOSINT repo,Targeted Helm-Path repository was not found in fresh search results,Negative claim retained to prevent fabricated tooling coverage,rejected,no exact Helm-Path project verified,coverage_limits,high,true,
R133,osint_fraud,GitHub OSINT case management tool repository,https://github.com/be0vlk/owlculus,owlculus repo,Owlculus repository exists and describes OSINT case management capabilities,Use case/evidence/entity workflow patterns,accepted,relevant,triage_queue_layer,high,true,
R134,osint_fraud,GitHub OSINT case management tool repository,https://github.com/elm1nst3r/GHOST-osint-crm,GHOST-osint-crm repo,GHOST OSINT CRM repository exists with investigation CRM features,Use relationship graph and case workflow ideas,accepted,relevant,evidence_graph_layer,high,true,
R135,osint_fraud,GitHub OSINT case management tool repository,https://github.com/flowintel/flowintel-cm,flowintel repo,Flowintel repository exists as analyst case/task management platform,Use audit logging and case lifecycle patterns,accepted,relevant,triage_queue_layer,high,true,
R136,knowledge_graph,GitHub DerwenAI Strwythura repository,https://github.com/DerwenAI/strwythura,strwythura repo,Strwythura repository exists and documents entity-resolved knowledge graph tutorial,Use ontology and entity-resolution pipeline patterns,accepted,relevant,entity_resolution_layer,high,true,
R137,knowledge_graph,GitHub ERKG Neo4j entity resolution example,https://github.com/DerwenAI/ERKG,ERKG repo,ERKG repo demonstrates Senzing+Neo4j entity-resolved knowledge graph workflow,Adopt ER-to-graph pipeline pattern for issuer/catalyst linkage,accepted,relevant,entity_resolution_layer,high,true,
R138,knowledge_graph,GitHub ERKG Neo4j entity resolution example,https://github.com/neo4j-graph-examples/entity-resolution,neo4j entity-resolution repo,Neo4j entity-resolution example repo exists with record-linkage workflow,Use graph-based dedup and similarity linkage patterns,accepted,relevant,entity_resolution_layer,high,true,
R139,knowledge_graph,GitHub KBpedia repository,https://github.com/Cognonto/kbpedia,KBpedia repo,KBpedia ontology repository exists with large concept hierarchy,Use controlled vocabulary and ontology mapping ideas,accepted,relevant,semantic_model_layer,medium,true,
R140,knowledge_graph,GitHub RahulNYK knowledge_graph repository,https://github.com/rahulnyk/knowledge_graph,knowledge_graph repo,RahulNYK knowledge_graph repo exists for text-to-graph extraction,Use concept relation extraction prototypes for analyst tooling,accepted,relevant,evidence_graph_layer,medium,true,
R141,knowledge_graph,GitHub Senzing Neo4j entity resolution example repository,https://github.com/kuzudb/entity-resolved-kg-senzing-kuzu,entity-resolved-kg-senzing-kuzu repo,Senzing-based entity-resolved KG example repository exists,Use cross-stack ERKG implementation comparison,accepted,relevant,entity_resolution_layer,medium,true,
R142,outside_validation,Siemens supply chain knowledge graph thesis github,https://github.com/Humboldt-WI-Dissertations/Knowledge-Graphs-Integration-in-the-Context-of-Supply-Chain-Risk-Management/blob/main/README.md,Humboldt WI dissertation README,Public thesis repo exists describing Siemens supply-chain KG integration use case,Use methodology for entity matching and graph merge evaluation,accepted,relevant,risk_model_layer,medium,true,
R143,outside_validation,GitHub Siemens-OKE llm-query-pipeline repository,https://github.com/Siemens-OKE/llm-query-pipeline,llm-query-pipeline repo,Siemens-OKE repo exists but focuses NLQ-to-SPARQL pipeline not supply-chain KG validation,Reject as direct supply-chain KG evidence,rejected,claim mismatch with requested Siemens supply-chain project,coverage_limits,high,true,
R144,outside_validation,GitHub nci scores forecast verification repository,https://github.com/nci/scores,nci/scores repo,nci/scores repository reconfirmed as forecast verification metrics package,Retain robust skill-score evaluation methods,accepted,relevant,validation_metrics_layer,high,true,
R145,outside_validation,GitHub FSSprob repository forecast skill score,https://github.com/wolfgruber/FSSprob,FSSprob repo,FSSprob repository exists for probabilistic Fractions Skill Score computation,Use probabilistic skill-score checks for model evaluation,accepted,relevant,validation_metrics_layer,high,true,
R146,outside_validation,GitHub properscoring repository,https://github.com/properscoring/properscoring,properscoring repo,properscoring repository exists for proper scoring rules CRPS and Brier score,Use probabilistic calibration and scoring metrics,accepted,relevant,validation_metrics_layer,high,true,
R147,outside_validation,GitHub xskillscore repository,https://github.com/xarray-contrib/xskillscore,xskillscore repo,xskillscore repository exists with deterministic/probabilistic forecast metrics,Use xarray-native verification metrics pipeline,accepted,relevant,validation_metrics_layer,high,true,
R148,outside_validation,GitHub statistical process control python package repository,https://github.com/suanto/pycontrolcharts,pycontrolcharts repo,pycontrolcharts repository exists with standard SPC chart implementations,Use process stability monitoring for data pipeline health,accepted,relevant,quality_monitoring_layer,high,true,
R149,mlops_lineage,evidentlyai/evidently github repository README,https://github.com/evidentlyai/evidently,evidently repo,Evidently repository exists as ML and LLM observability framework,Use drift and quality monitoring checks,accepted,relevant,drift_monitoring_layer,high,true,
R150,mlops_lineage,dagster-io/dagster github repository lineage assets,https://github.com/dagster-io/dagster/blob/master/docs/docs/guides/build/assets/asset-selection-syntax/index.md,dagster asset selection docs,Dagster lineage and asset selection documentation verified,Use asset lineage navigation and dependency selection,accepted,relevant,lineage_layer,high,true,
R151,mlops_lineage,great-expectations/great_expectations github repository,https://github.com/great-expectations/great_expectations,great_expectations repo,Great Expectations repository exists for data quality expectations and tests,Use explicit data contracts and expectation suites,accepted,relevant,data_quality_layer,high,true,
R152,mlops_lineage,iterative/dvc github repository pipelines,https://github.com/iterative/dvc,dvc repo,DVC repository exists for data/versioned pipelines and reproducibility,Use versioned pipeline and immutable experiment artifacts,accepted,relevant,versioning_layer,high,true,
R153,mlops_lineage,mlflow/mlflow github tracking repository,https://github.com/MLflow/MLflow,mlflow repo,MLflow repository exists with tracking API and run metadata,Use experiment tracking and run comparisons,accepted,relevant,experiment_tracking_layer,high,true,
R154,mlops_lineage,OpenLineage/OpenLineage github specification repository,https://github.com/OpenLineage/OpenLineage/blob/main/spec/OpenLineage.md,OpenLineage spec,OpenLineage specification repository verified,Use open lineage event schema for provenance manifests,accepted,relevant,provenance_layer,high,true,
R155,mlops_lineage,MarquezProject/marquez github lineage metadata service,https://github.com/MarquezProject/marquez,marquez repo,Marquez repository exists as lineage metadata service and OpenLineage implementation,Use lineage metadata service patterns for evidence center,accepted,relevant,lineage_service_layer,high,true,
